time,actual_temp,actual_pressure,actual_humidity,actual_rain,pred24_temp,pred24_pressure,pred24_humidity,pred24_rain
2025-01-18 10:00:00,2.9,1027.4,72.0,0.0,4.246574,1031.3954,64.66104,0.021512723
2025-01-18 11:00:00,6.5,1027.7,61.0,0.0,7.1611986,1031.8447,54.14503,0.024893424
2025-01-18 12:00:00,8.0,1027.3,54.0,0.0,9.071834,1031.1078,48.993534,0.025745029
2025-01-18 13:00:00,8.7,1026.4,51.0,0.0,9.879623,1030.2078,46.83704,0.024482718
2025-01-18 14:00:00,9.0,1025.3,46.0,0.0,10.093317,1029.3047,46.696465,0.023933612
2025-01-18 15:00:00,8.8,1024.5,52.0,0.0,10.326583,1028.5195,46.788586,0.024594935
2025-01-18 16:00:00,8.3,1024.2,57.0,0.0,10.106665,1027.8284,47.903625,0.025467798
2025-01-18 17:00:00,6.8,1024.3,67.0,0.0,9.02042,1027.6724,50.7477,0.025354574
2025-01-18 18:00:00,2.8,1024.8,77.0,0.0,8.04791,1027.8657,53.41194,0.02491113
2025-01-18 19:00:00,1.3,1024.9,75.0,0.0,5.567077,1028.2347,63.06456,0.02649621
2025-01-18 20:00:00,-1.5,1024.9,90.0,0.0,4.866885,1028.2415,65.23004,0.027891407
2025-01-18 21:00:00,-2.0,1024.6,91.0,0.0,4.50966,1027.9779,66.38474,0.028136931
2025-01-18 22:00:00,-0.9,1024.2,82.0,0.0,3.9424102,1027.7625,68.20696,0.027951548
2025-01-18 23:00:00,-0.7,1024.1,77.0,0.0,4.035109,1027.7407,66.74035,0.026869316
2025-01-19 00:00:00,-1.1,1023.8,78.0,0.0,3.7524714,1027.7819,67.44651,0.026172504
2025-01-19 01:00:00,-1.4,1023.6,77.0,0.0,3.3592694,1028.0322,68.53587,0.025207026
2025-01-19 02:00:00,-0.1,1023.1,62.0,0.0,3.746363,1028.1929,66.20185,0.024455843
2025-01-19 03:00:00,0.5,1022.7,54.0,0.0,3.8614635,1028.0348,65.57395,0.024516735
2025-01-19 04:00:00,0.5,1022.4,53.0,0.0,4.850632,1028.1693,61.348503,0.025463738
