time,temp_real,hum_real,rain_real,pres_real,wind_real,temp_pred_24,hum_pred_24,rain_pred_24,pres_pred_24,wind_pred_24,temp_pred_48,hum_pred_48,rain_pred_48,pres_pred_48,wind_pred_48,temp_pred_72,hum_pred_72,rain_pred_72,pres_pred_72,wind_pred_72
2025-02-06 22:00:00,0.3,81.0,0.0,1025.3,7.2,-1.0938953,0.19055803,-0.26312473,1.8664722,-0.33157304,-1.0772492,0.34421316,-0.17780487,1.6353574,-0.4665336,-1.0730942,0.5627562,-0.08153874,0.7500175,-0.1750778
2025-02-06 23:00:00,-0.1,79.0,0.0,1024.9,5.8,-1.2048736,0.300177,-0.25507766,1.9023749,-0.35745856,-1.121274,0.37185526,-0.17211373,1.6516585,-0.44396272,-1.1835852,0.6993289,-0.07713179,0.7989387,-0.17339951
2025-02-07 00:00:00,0.4,75.0,0.0,1024.5,3.1,-1.2925166,0.34763822,-0.24814536,1.9282055,-0.2818106,-1.1650943,0.36762205,-0.18027522,1.6948384,-0.4332714,-1.2120788,0.7066858,-0.08470084,0.8491514,-0.18610166
2025-02-07 01:00:00,1.3,72.0,0.0,1024.4,2.4,-1.3432807,0.41048878,-0.23680349,1.9394853,-0.21396324,-1.2033236,0.3970545,-0.18141882,1.7079761,-0.40029156,-1.2649657,0.78084356,-0.085499674,0.8762112,-0.17502633
2025-02-07 02:00:00,1.9,66.0,0.0,1023.8,2.1,-1.3755262,0.4721209,-0.2351271,1.9027383,-0.30350807,-1.2419149,0.4178403,-0.18307519,1.7217507,-0.38243663,-1.2683195,0.7683643,-0.086117044,0.9207107,-0.1777615
2025-02-07 03:00:00,1.8,71.0,0.0,1023.3,1.9,-1.4194075,0.6309922,-0.215674,1.8282557,-0.35718924,-1.2927296,0.48837692,-0.18368606,1.7401587,-0.3885369,-1.2363333,0.74288464,-0.07301368,1.0073773,-0.21951108
2025-02-07 04:00:00,1.6,78.0,0.0,1022.4,2.4,-1.3907994,0.58090895,-0.23045559,1.825279,-0.47954556,-1.3483547,0.5440822,-0.1963378,1.7566887,-0.38417897,-1.2477511,0.74313843,-0.07586551,1.0110408,-0.24061018
2025-02-07 05:00:00,1.2,81.0,0.0,1021.7,1.5,-1.3975041,0.5771182,-0.24108951,1.7809927,-0.50340134,-1.3602196,0.5500071,-0.21585129,1.7562423,-0.3846299,-1.2277366,0.6949769,-0.09192285,1.0433339,-0.26742303
2025-02-07 06:00:00,1.2,82.0,0.0,1021.3,1.5,-1.340466,0.4877034,-0.2534104,1.7437267,-0.56532115,-1.3601454,0.54640925,-0.22877772,1.7474403,-0.39729032,-1.1897193,0.64807624,-0.096554734,1.0830911,-0.33801064
2025-02-07 07:00:00,1.3,79.0,0.0,1021.2,0.5,-1.2735466,0.422494,-0.2571477,1.7102119,-0.64335364,-1.3295666,0.536129,-0.23695126,1.752989,-0.43480524,-1.1353172,0.5821513,-0.094230905,1.1670269,-0.3967552
